Entity,Code,Year,Underweight,Wasting,Stunting
Algeria,DZA,2019,2.700000048,2.700000048,9.800000191
Argentina,ARG,2019,1.700000048,1.600000024,7.900000095
Bangladesh,BGD,2019,22.60000038,9.800000191,28
Burkina Faso,BFA,2019,16.39999962,8.100000381,23.79999924
Burundi,BDI,2019,27,4.800000191,54
Central African Republic,CAF,2019,20.5,5.199999809,40.20000076
Chad,TCD,2019,29.20000076,13.89999962,37.79999924
Cuba,CUB,2019,2.400000095,2,7.099999905
Ecuador,ECU,2019,5.199999809,3.700000048,23
Ethiopia,ETH,2019,21.10000038,7.199999809,36.79999924
Guinea-Bissau,GNB,2019,18.79999924,7.800000191,28.10000038
Liberia,LBR,2019,10.89999962,3.400000095,29.79999924
Malawi,MWI,2019,9,0.600000024,40.90000153
Malaysia,MYS,2019,14.10000038,9.699999809,21.79999924
Mali,MLI,2019,18.10000038,9.300000191,26.39999962
Mexico,MEX,2019,4.699999809,1.399999976,14.10000038
Nepal,NPL,2019,24.39999962,12,31.5
Niger,NER,2019,31.29999924,9.800000191,47.09999847
North Macedonia,MKD,2019,0.899999976,3.400000095,4.300000191
Panama,PAN,2019,3,0.400000006,15.80000019
Peru,PER,2019,2.400000095,3.099999905,12.19999981
Samoa,WSM,2019,3.400000095,4.099999905,7.300000191
Sao Tome and Principe,STP,2019,5.400000095,8.100000381,11.69999981
Senegal,SEN,2019,14.39999962,2.599999905,17.89999962
Serbia,SRB,2019,1,5.400000095,5.400000095
Sierra Leone,SLE,2019,13.5,7.699999809,29.5
Thailand,THA,2019,7.699999809,1.100000024,13.39999962
Tonga,TON,2019,0.800000012,4.099999905,2.200000048
Turkmenistan,TKM,2019,3.099999905,2.900000095,7.199999809
World,OWID_WRL,2019,12.86429214,13.5,23.5
Zimbabwe,ZWE,2019,9.699999809,9.5,9.9
